station_id,date,observation_type,latitude,longitude,elevation,temperature,precipitation,snowfall,snowdepth
SZ000001940,20240101,TMAX,47.5331,7.5831,316.0,8.6,1.5,,0.0
SZ000001940,20240101,TMIN,47.5331,7.5831,316.0,3.4,1.5,,0.0
SZ000001940,20240101,TAVG,47.5331,7.5831,316.0,6.3,1.5,,0.0
SZ000001940,20240102,TMAX,47.5331,7.5831,316.0,12.6,10.5,,0.0
SZ000001940,20240102,TMIN,47.5331,7.5831,316.0,3.7,10.5,,0.0
SZ000001940,20240102,TAVG,47.5331,7.5831,316.0,8.8,10.5,,0.0
SZ000001940,20240103,TMAX,47.5331,7.5831,316.0,14.0,0.6,,0.0
SZ000001940,20240103,TMIN,47.5331,7.5831,316.0,9.0,0.6,,0.0
SZ000001940,20240103,TAVG,47.5331,7.5831,316.0,10.9,0.6,,0.0
SZ000001940,20240104,TMAX,47.5331,7.5831,316.0,10.4,0.5,,0.0
SZ000001940,20240104,TMIN,47.5331,7.5831,316.0,4.8,0.5,,0.0
SZ000001940,20240104,TAVG,47.5331,7.5831,316.0,7.9,0.5,,0.0
SZ000001940,20240105,TMAX,47.5331,7.5831,316.0,6.5,1.4,,0.0
SZ000001940,20240105,TMIN,47.5331,7.5831,316.0,4.7,1.4,,0.0
SZ000001940,20240105,TAVG,47.5331,7.5831,316.0,5.6,1.4,,0.0
SZ000001940,20240106,TMAX,47.5331,7.5831,316.0,6.2,3.2,,0.0
SZ000001940,20240106,TMIN,47.5331,7.5831,316.0,3.9,3.2,,0.0
SZ000001940,20240106,TAVG,47.5331,7.5831,316.0,5.1,3.2,,0.0
SZ000001940,20240107,TMAX,47.5331,7.5831,316.0,4.1,3.3,,0.0
SZ000001940,20240107,TMIN,47.5331,7.5831,316.0,-0.8,3.3,,0.0
SZ000001940,20240107,TAVG,47.5331,7.5831,316.0,2.8,3.3,,0.0
SZ000001940,20240108,TMAX,47.5331,7.5831,316.0,-0.7,0.1,,2.0
SZ000001940,20240108,TMIN,47.5331,7.5831,316.0,-2.3,0.1,,2.0
SZ000001940,20240108,TAVG,47.5331,7.5831,316.0,-1.2,0.1,,2.0
SZ000001940,20240109,TMAX,47.5331,7.5831,316.0,-0.9,3.0,,2.0
SZ000001940,20240109,TMIN,47.5331,7.5831,316.0,-4.9,3.0,,2.0
SZ000001940,20240109,TAVG,47.5331,7.5831,316.0,-3.4,3.0,,2.0
SZ000001940,20240110,TMAX,47.5331,7.5831,316.0,-1.5,0.0,,6.0
SZ000001940,20240110,TMIN,47.5331,7.5831,316.0,-5.0,0.0,,6.0
SZ000001940,20240110,TAVG,47.5331,7.5831,316.0,-3.0,0.0,,6.0
SZ000001940,20240111,TMAX,47.5331,7.5831,316.0,-1.5,0.0,,5.0
SZ000001940,20240111,TMIN,47.5331,7.5831,316.0,-4.2,0.0,,5.0
SZ000001940,20240111,TAVG,47.5331,7.5831,316.0,-2.9,0.0,,5.0
