Datum,Abflussmenge,Wasserstand,Temperatur
2024-01-01,109.253,502.016,6.84
2024-01-02,109.371,502.017,6.88
2024-01-03,114.674,502.059,7.23
2024-01-04,126.812,502.152,7.07
2024-01-05,136.545,502.224,6.84
2024-01-06,139.926,502.249,6.87
2024-01-07,134.399,502.209,6.69
2024-01-08,123.286,502.125,6.14
2024-01-09,116.019,502.069,6.07
2024-01-10,103.948,501.974,6.12
2024-01-11,101.777,501.956,6.09
2024-01-12,97.528,501.922,6.03
2024-01-13,93.379,501.887,5.9
2024-01-14,92.102,501.877,5.88
2024-01-15,91.416,501.871,6.11
2024-01-16,89.987,501.859,6.05
2024-01-17,94.478,501.896,6.38
2024-01-18,129.978,502.175,6.31
2024-01-19,148.452,502.31,5.66
2024-01-20,139.878,502.249,5.25
2024-01-21,121.306,502.11,5.35
2024-01-22,104.379,501.977,5.58
2024-01-23,110.305,502.025,6.11
2024-01-24,113.188,502.047,6.6
2024-01-25,129.914,502.175,6.85
2024-01-26,143.261,502.273,6.62
2024-01-27,150.897,502.328,6.68
2024-01-28,139.282,502.244,6.48
2024-01-29,119.698,502.098,6.2
2024-01-30,115.9,502.068,6.27
2024-01-31,108.283,502.008,6.33
2024-02-01,103.564,501.971,6.24
2024-02-02,95.123,501.902,6.57
2024-02-03,86.672,501.831,6.43
2024-02-04,86.275,501.828,6.5
2024-02-05,86.026,501.825,6.54
2024-02-06,92.522,501.88,6.41
2024-02-07,92.965,501.884,6.39
2024-02-08,102.164,501.959,6.8
2024-02-09,97.101,501.918,6.89
2024-02-10,95.56,501.905,6.84
2024-02-11,95.041,501.901,6.73
2024-02-12,93.861,501.891,6.7
2024-02-13,91.129,501.868,6.62
2024-02-14,83.629,501.805,6.73
2024-02-15,76.958,501.747,6.85
2024-02-16,73.053,501.713,7.34
2024-02-17,78.829,501.763,7.59
2024-02-18,80.162,501.775,7.53
2024-02-19,82.869,501.798,7.5
2024-02-20,89.091,501.851,7.37
2024-02-21,84.223,501.81,6.99
2024-02-22,74.075,501.721,7.34
2024-02-23,98.546,501.93,7.05
2024-02-24,95.725,501.907,6.82
2024-02-25,93.559,501.889,6.66
2024-02-26,92.327,501.879,6.94
2024-02-27,83.61,501.805,6.7
2024-02-28,82.276,501.793,6.92
2024-02-29,81.838,501.79,7.26
2024-03-01,81.695,501.788,7.13
2024-03-02,77.294,501.75,7.24
2024-03-03,76.225,501.741,7.47
2024-03-04,73.204,501.714,7.4
2024-03-05,71.204,501.696,7.48
2024-03-06,78.582,501.761,6.97
2024-03-07,79.394,501.768,7.03
2024-03-08,78.525,501.761,6.79
2024-03-09,79.629,501.77,7.03
2024-03-10,91.161,501.869,6.79
2024-03-11,97.119,501.918,6.89
2024-03-12,87.653,501.839,7.1
2024-03-13,85.451,501.82,7.46
2024-03-14,84.207,501.81,7.69
2024-03-15,90.245,501.861,8.14
2024-03-16,114.331,502.055,8.01
2024-03-17,131.307,502.186,7.37
2024-03-18,162.21,502.399,7.6
2024-03-19,178.073,502.511,7.73
2024-03-20,155.857,502.362,7.83
2024-03-21,144.378,502.281,8.13
2024-03-22,137.782,502.233,8.29
2024-03-23,141.635,502.261,8.03
2024-03-24,145.137,502.287,6.97
2024-03-25,125.478,502.14,7.41
2024-03-26,92.365,501.879,8.3
2024-03-27,96.22,501.91,7.9
2024-03-28,108.046,502.007,7.45
2024-03-29,109.592,502.019,7.88
2024-03-30,111.989,502.038,8.14
2024-03-31,109.07,502.015,8.36
2024-04-01,128.046,502.161,8.18
2024-04-02,132.37,502.193,8.17
2024-04-03,114.407,502.057,7.82
2024-04-04,112.576,502.042,8.58
2024-04-05,121.475,502.111,8.94
2024-04-06,126.515,502.15,9.33
2024-04-07,129.162,502.17,9.93
