Stationsnummer: 2135
Stationsname: Bern, Schönau
DBLH-Nr: 00985
Gewässer: Aare
Exportperiode: 2024-01-01 - 2024-12-31
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-01 00:00:00;;109.253;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-02 00:00:00;;109.371;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-03 00:00:00;;114.674;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-04 00:00:00;;126.812;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-05 00:00:00;;136.545;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-06 00:00:00;;139.926;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-07 00:00:00;;134.399;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-08 00:00:00;;123.286;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-09 00:00:00;;116.019;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-10 00:00:00;;103.948;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-11 00:00:00;;101.777;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-12 00:00:00;;97.528;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-13 00:00:00;;93.379;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-14 00:00:00;;92.102;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-15 00:00:00;;91.416;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-16 00:00:00;;89.987;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-17 00:00:00;;94.478;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-18 00:00:00;;129.978;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-19 00:00:00;;148.452;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-20 00:00:00;;139.878;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-21 00:00:00;;121.306;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-22 00:00:00;;104.379;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-23 00:00:00;;110.305;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-24 00:00:00;;113.188;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-25 00:00:00;;129.914;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-26 00:00:00;;143.261;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-27 00:00:00;;150.897;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-28 00:00:00;;139.282;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-29 00:00:00;;119.698;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-30 00:00:00;;115.900;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-01-31 00:00:00;;108.283;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-01 00:00:00;;103.564;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-02 00:00:00;;95.123;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-03 00:00:00;;86.672;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-04 00:00:00;;86.275;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-05 00:00:00;;86.026;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-06 00:00:00;;92.522;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-07 00:00:00;;92.965;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-08 00:00:00;;102.164;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-09 00:00:00;;97.101;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-10 00:00:00;;95.560;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-11 00:00:00;;95.041;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-12 00:00:00;;93.861;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-13 00:00:00;;91.129;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-14 00:00:00;;83.629;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-15 00:00:00;;76.958;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-16 00:00:00;;73.053;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-17 00:00:00;;78.829;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-18 00:00:00;;80.162;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-19 00:00:00;;82.869;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-20 00:00:00;;89.091;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-21 00:00:00;;84.223;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-22 00:00:00;;74.075;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-23 00:00:00;;98.546;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-24 00:00:00;;95.725;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-25 00:00:00;;93.559;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-26 00:00:00;;92.327;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-27 00:00:00;;83.610;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-28 00:00:00;;82.276;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-02-29 00:00:00;;81.838;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-03-01 00:00:00;;81.695;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-03-02 00:00:00;;77.294;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-03-03 00:00:00;;76.225;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-03-04 00:00:00;;73.204;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-03-05 00:00:00;;71.204;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-03-06 00:00:00;;78.582;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-03-07 00:00:00;;79.394;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-03-08 00:00:00;;78.525;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-03-09 00:00:00;;79.629;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-03-10 00:00:00;;91.161;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-03-11 00:00:00;;97.119;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-03-12 00:00:00;;87.653;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-03-13 00:00:00;;85.451;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-03-14 00:00:00;;84.207;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-03-15 00:00:00;;90.245;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-03-16 00:00:00;;114.331;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-03-17 00:00:00;;131.307;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-03-18 00:00:00;;162.210;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-03-19 00:00:00;;178.073;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-03-20 00:00:00;;155.857;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-03-21 00:00:00;;144.378;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-03-22 00:00:00;;137.782;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-03-23 00:00:00;;141.635;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-03-24 00:00:00;;145.137;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-03-25 00:00:00;;125.478;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-03-26 00:00:00;;92.365;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-03-27 00:00:00;;96.220;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Abfluss;Tagesmittel;m3/s;Aare;2024-03-28 00:00:00;;108.046;Freigegeben, geprüfte Daten
