Stationsnummer: 2135
Stationsname: Bern, Schönau
DBLH-Nr: 00985
Gewässer: Aare
Exportperiode: 2024-01-01 - 2024-12-31
Parameter: Pegel
Parametereinheit: m ü.M.
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-01-01 00:00:00;;502.016;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-01-02 00:00:00;;502.017;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-01-03 00:00:00;;502.059;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-01-04 00:00:00;;502.152;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-01-05 00:00:00;;502.224;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-01-06 00:00:00;;502.249;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-01-07 00:00:00;;502.209;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-01-08 00:00:00;;502.125;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-01-09 00:00:00;;502.069;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-01-10 00:00:00;;501.974;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-01-11 00:00:00;;501.956;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-01-12 00:00:00;;501.922;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-01-13 00:00:00;;501.887;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-01-14 00:00:00;;501.877;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-01-15 00:00:00;;501.871;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-01-16 00:00:00;;501.859;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-01-17 00:00:00;;501.896;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-01-18 00:00:00;;502.175;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Pegel;Tagesmittel;m ü.M.;Aare;2024-01-19 00:00:00;;502.310;Freigegeben, geprüfte Daten
