Stationsnummer: 2135
Stationsname: Bern, Schönau
DBLH-Nr: 00985
Gewässer: Aare
Exportperiode: 2024-01-01 - 2024-12-31
Parameter: Wassertemperatur
Parametereinheit: °C
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-01 00:00:00;;6.84;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-02 00:00:00;;6.88;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-03 00:00:00;;7.23;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-04 00:00:00;;7.07;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-05 00:00:00;;6.84;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-06 00:00:00;;6.87;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-07 00:00:00;;6.69;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-08 00:00:00;;6.14;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-09 00:00:00;;6.07;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-10 00:00:00;;6.12;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-11 00:00:00;;6.09;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-12 00:00:00;;6.03;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-13 00:00:00;;5.90;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-14 00:00:00;;5.88;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-15 00:00:00;;6.11;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-16 00:00:00;;6.05;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-17 00:00:00;;6.38;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-18 00:00:00;;6.31;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-19 00:00:00;;5.66;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-20 00:00:00;;5.25;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-21 00:00:00;;5.35;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-22 00:00:00;;5.58;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-23 00:00:00;;6.11;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-24 00:00:00;;6.60;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-25 00:00:00;;6.85;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-26 00:00:00;;6.62;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-27 00:00:00;;6.68;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-28 00:00:00;;6.48;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-29 00:00:00;;6.20;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-30 00:00:00;;6.27;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-01-31 00:00:00;;6.33;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-01 00:00:00;;6.24;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-02 00:00:00;;6.57;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-03 00:00:00;;6.43;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-04 00:00:00;;6.50;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-05 00:00:00;;6.54;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-06 00:00:00;;6.41;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-07 00:00:00;;6.39;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-08 00:00:00;;6.80;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-09 00:00:00;;6.89;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-10 00:00:00;;6.84;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-11 00:00:00;;6.73;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-12 00:00:00;;6.70;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-13 00:00:00;;6.62;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-14 00:00:00;;6.73;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-15 00:00:00;;6.85;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-16 00:00:00;;7.34;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-17 00:00:00;;7.59;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-18 00:00:00;;7.53;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-19 00:00:00;;7.50;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-20 00:00:00;;7.37;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-21 00:00:00;;6.99;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-22 00:00:00;;7.34;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-23 00:00:00;;7.05;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-24 00:00:00;;6.82;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-25 00:00:00;;6.66;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-26 00:00:00;;6.94;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-27 00:00:00;;6.70;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-28 00:00:00;;6.92;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-02-29 00:00:00;;7.26;Freigegeben, geprüfte Daten
Bern, Schönau;2135;Wassertemperatur;Tagesmittel;°C;Aare;2024-03-01 00:00:00;;7.13;Freigegeben, geprüfte Daten
